employee_id,date,status
1,2022-01-01,Absent
1,2022-01-02,Vacation
1,2022-01-03,Present
1,2022-01-04,Vacation
1,2022-01-05,Absent
1,2022-01-06,Sick Leave
1,2022-01-07,Sick Leave
1,2022-01-08,Sick Leave
1,2022-01-09,Vacation
1,2022-01-10,Absent
1,2022-01-11,Absent
1,2022-01-12,Vacation
1,2022-01-13,Present
1,2022-01-14,Absent
1,2022-01-15,Absent
1,2022-01-16,Absent
1,2022-01-17,Vacation
1,2022-01-18,Vacation
1,2022-01-19,Vacation
1,2022-01-20,Present
1,2022-01-21,Sick Leave
1,2022-01-22,Present
1,2022-01-23,Vacation
1,2022-01-24,Absent
1,2022-01-25,Sick Leave
1,2022-01-26,Absent
1,2022-01-27,Present
1,2022-01-28,Vacation
1,2022-01-29,Sick Leave
1,2022-01-30,Absent
1,2022-01-31,Present
1,2022-02-01,Present
1,2022-02-02,Present
1,2022-02-03,Sick Leave
1,2022-02-04,Present
1,2022-02-05,Sick Leave
1,2022-02-06,Absent
1,2022-02-07,Absent
1,2022-02-08,Vacation
1,2022-02-09,Vacation
1,2022-02-10,Absent
1,2022-02-11,Absent
1,2022-02-12,Present
1,2022-02-13,Absent
1,2022-02-14,Present
1,2022-02-15,Absent
1,2022-02-16,Sick Leave
1,2022-02-17,Present
1,2022-02-18,Present
1,2022-02-19,Sick Leave
1,2022-02-20,Absent
1,2022-02-21,Present
1,2022-02-22,Vacation
1,2022-02-23,Present
1,2022-02-24,Absent
1,2022-02-25,Absent
1,2022-02-26,Present
1,2022-02-27,Present
1,2022-02-28,Present
1,2022-03-01,Present
1,2022-03-02,Sick Leave
1,2022-03-03,Absent
1,2022-03-04,Sick Leave
1,2022-03-05,Present
1,2022-03-06,Present
1,2022-03-07,Present
1,2022-03-08,Sick Leave
1,2022-03-09,Absent
1,2022-03-10,Absent
1,2022-03-11,Absent
1,2022-03-12,Absent
1,2022-03-13,Present
1,2022-03-14,Sick Leave
1,2022-03-15,Present
1,2022-03-16,Sick Leave
1,2022-03-17,Vacation
1,2022-03-18,Absent
1,2022-03-19,Absent
1,2022-03-20,Present
1,2022-03-21,Vacation
1,2022-03-22,Vacation
1,2022-03-23,Present
1,2022-03-24,Vacation
1,2022-03-25,Vacation
1,2022-03-26,Absent
1,2022-03-27,Vacation
1,2022-03-28,Absent
1,2022-03-29,Vacation
1,2022-03-30,Sick Leave
1,2022-03-31,Present
1,2022-04-01,Present
1,2022-04-02,Sick Leave
1,2022-04-03,Present
1,2022-04-04,Present
1,2022-04-05,Vacation
1,2022-04-06,Present
1,2022-04-07,Absent
1,2022-04-08,Sick Leave
1,2022-04-09,Vacation
1,2022-04-10,Sick Leave
1,2022-04-11,Vacation
1,2022-04-12,Vacation
1,2022-04-13,Absent
1,2022-04-14,Present
1,2022-04-15,Vacation
1,2022-04-16,Present
1,2022-04-17,Absent
1,2022-04-18,Absent
1,2022-04-19,Present
1,2022-04-20,Vacation
1,2022-04-21,Vacation
1,2022-04-22,Absent
1,2022-04-23,Present
1,2022-04-24,Present
1,2022-04-25,Vacation
1,2022-04-26,Absent
1,2022-04-27,Present
1,2022-04-28,Present
1,2022-04-29,Absent
1,2022-04-30,Vacation
1,2022-05-01,Present
1,2022-05-02,Absent
1,2022-05-03,Sick Leave
1,2022-05-04,Sick Leave
1,2022-05-05,Vacation
1,2022-05-06,Vacation
1,2022-05-07,Vacation
1,2022-05-08,Vacation
1,2022-05-09,Vacation
1,2022-05-10,Sick Leave
1,2022-05-11,Present
1,2022-05-12,Sick Leave
1,2022-05-13,Present
1,2022-05-14,Absent
1,2022-05-15,Sick Leave
1,2022-05-16,Vacation
1,2022-05-17,Vacation
1,2022-05-18,Sick Leave
1,2022-05-19,Sick Leave
1,2022-05-20,Present
1,2022-05-21,Vacation
1,2022-05-22,Sick Leave
1,2022-05-23,Absent
1,2022-05-24,Vacation
1,2022-05-25,Absent
1,2022-05-26,Present
1,2022-05-27,Sick Leave
1,2022-05-28,Sick Leave
1,2022-05-29,Vacation
1,2022-05-30,Vacation
1,2022-05-31,Sick Leave
1,2022-06-01,Vacation
1,2022-06-02,Absent
1,2022-06-03,Present
1,2022-06-04,Vacation
1,2022-06-05,Sick Leave
1,2022-06-06,Sick Leave
1,2022-06-07,Sick Leave
1,2022-06-08,Absent
1,2022-06-09,Vacation
1,2022-06-10,Present
1,2022-06-11,Absent
1,2022-06-12,Absent
1,2022-06-13,Absent
1,2022-06-14,Present
1,2022-06-15,Absent
1,2022-06-16,Present
1,2022-06-17,Absent
1,2022-06-18,Absent
1,2022-06-19,Present
1,2022-06-20,Absent
1,2022-06-21,Vacation
1,2022-06-22,Vacation
1,2022-06-23,Absent
1,2022-06-24,Present
1,2022-06-25,Absent
1,2022-06-26,Vacation
1,2022-06-27,Present
1,2022-06-28,Present
1,2022-06-29,Absent
1,2022-06-30,Sick Leave
1,2022-07-01,Present
1,2022-07-02,Vacation
1,2022-07-03,Sick Leave
1,2022-07-04,Present
1,2022-07-05,Absent
1,2022-07-06,Absent
1,2022-07-07,Vacation
1,2022-07-08,Present
1,2022-07-09,Sick Leave
1,2022-07-10,Sick Leave
1,2022-07-11,Vacation
1,2022-07-12,Sick Leave
1,2022-07-13,Present
1,2022-07-14,Sick Leave
1,2022-07-15,Present
1,2022-07-16,Sick Leave
1,2022-07-17,Present
1,2022-07-18,Sick Leave
1,2022-07-19,Sick Leave
1,2022-07-20,Sick Leave
1,2022-07-21,Absent
1,2022-07-22,Present
1,2022-07-23,Sick Leave
1,2022-07-24,Sick Leave
1,2022-07-25,Present
1,2022-07-26,Absent
1,2022-07-27,Sick Leave
1,2022-07-28,Absent
1,2022-07-29,Vacation
1,2022-07-30,Present
1,2022-07-31,Sick Leave
1,2022-08-01,Present
1,2022-08-02,Sick Leave
1,2022-08-03,Present
1,2022-08-04,Absent
1,2022-08-05,Sick Leave
1,2022-08-06,Present
1,2022-08-07,Vacation
1,2022-08-08,Absent
1,2022-08-09,Sick Leave
1,2022-08-10,Absent
1,2022-08-11,Vacation
1,2022-08-12,Absent
1,2022-08-13,Sick Leave
1,2022-08-14,Present
1,2022-08-15,Present
1,2022-08-16,Absent
1,2022-08-17,Absent
1,2022-08-18,Sick Leave
1,2022-08-19,Sick Leave
1,2022-08-20,Absent
1,2022-08-21,Present
1,2022-08-22,Present
1,2022-08-23,Present
1,2022-08-24,Present
1,2022-08-25,Vacation
